title,summary,text,published,source
How to grow crystals when and where you want them,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03415-8"">doi:10.1038/d41586-025-03415-8</a></p>Scientists ‘draw’ crystal patterns using laser light.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement A beam-splitter cube helps to guide laser light, which scientists have used to control crystal formation.  Credit: Paul Henderson, Finn Gomez/College of Natural Science Call it a jazzed-up version of your childhood crystal-growing kit. Scientists have shown that, using lasers, they can grow crystals on demand1. 
        Access Nature and 54 other Nature Portfolio journals
       
        Get Nature+, our best-value online-access subscription
       
£17.99 / 30 days
 cancel any time Subscribe to this journal 
        Receive 51 print issues and online access
       £199.00 per year only £3.90 per issue Rent or buy this article Prices vary by article type from$1.95 to$39.95 Prices may be subject to local taxes which are calculated during checkout doi: https://doi.org/10.1038/d41586-025-03415-8 Shahjahan, M. et al. ACS Nano https://doi.org/10.1021/acsnano.5c12057 (2025). Article 
    
                    Google Scholar 
                 Download references A metallic p-wave magnet with commensurate spin helix Article 22 OCT 25 Copper-free chips generate robust ‘combs’ of multicoloured light News & Views 22 OCT 25 Cryogenic X-ray photoelectron spectroscopy for battery interfaces Article 22 OCT 25 We seek researchers with a high impact in disciplines such as space science, marine science, AI, BCIs, flexible electronics, or neuroscience. Dongxiang Road, Chang'an District, Xi'an Shaanxi,710129, P.R.China. Sanhang Institute for Brain Science and Technology (SiBST) at Northwestern Polytechnical University Discovery-based and/or translational research using model organism genetics and/or stem cell and organoid platforms to study paediatric cancer. Toronto (City), Ontario (CA) The Hospital for Sick Children - Developmental & Stem Cell Biology Program Title: Associate or Senior Editor, Nature Communications (Computational Social Science) Location: New York, Madrid or Shanghai Closing date: Novemb... New York City, New York (US) Springer Nature Ltd We are seeking highly motivated Co-Principal Investigators/Research Professors to join i-BRAIN and contribute to cutting-edge neuroscience research. Shenzhen, Guangdong (CN) i-BRAIN, Shenzhen Medical Academy of Research and Translation Expressions of interest are invited for an Assistant Professor (tenure track) role with a generous 5-year startup package of about SEK 20M (≈EUR 1.8M) Umeå, Sweden Umeå University An essential round-up of science news, opinion and analysis, delivered to your inbox every weekday. Sign up for the Nature Briefing newsletter — what matters in science, free to your inbox daily. 

                        Nature
",,https://www.nature.com/articles/d41586-025-03415-8
Audio long read: How to get the best night’s sleep — what the science says,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03421-w"">doi:10.1038/d41586-025-03421-w</a></p>Lessons learnt from research into the body’s internal clock could be key to unlocking blissful slumber.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement Lynne Peeples is a science journalist in Seattle, Washington, and author of The Inner Clock. 
Search author on:
PubMed
 Google Scholar
 
Search author on:
PubMed
 Google Scholar
 
                You have full access to this article via your institution.  Download the October 2025 long read podcast Advice on how to get good sleep is everywhere, with the market for sleep aids worth more than US$100 billion annually. However, scientists warn that online hacks and pricey tools aren’t always effective, and suggest that lessons learnt about the workings of a network of biological clocks found in the human body could ultimately lead to improved sleep. This is an audio version of our Feature: How to get the best night’s sleep: what the science says Never miss an episode. Subscribe to the Nature Podcast on Apple Podcasts, Spotify, YouTube Music or your favourite podcast app. An RSS feed for the Nature Podcast is available too. doi: https://doi.org/10.1038/d41586-025-03421-w 


                        
                        Ancient viral DNA helps human embryos develop
                    
 


                        
                        How to detect consciousness in people, animals and maybe even AI
                    
 


                        
                        How the brain wakes up from sleep — and produces that morning feeling
                    
 


                        
                        Revealed: how the brain turns stress into a bad night’s sleep
                    
 AI’s therapeutic potential goes beyond emotional connection Correspondence 14 OCT 25 Make cities more walkable, in the real world and in virtual reality Correspondence 30 SEP 25 How to get the best night’s sleep: what the science says News Feature 30 SEP 25 We need more than good science to fight infectious disease Nature Index 22 OCT 25 Pancreatic cancer relies on opposing signalling pathways to drive its cellular diversity News & Views 22 OCT 25 People with some cancers live longer after a COVID vaccine News 22 OCT 25 The spectre of malnutrition is back and must be tackled — fast Editorial 14 OCT 25 How to get the best night’s sleep: what the science says News Feature 30 SEP 25 A plant-forward menu is linked to lower diabetes risk Research Highlight 17 SEP 25 We seek researchers with a high impact in disciplines such as space science, marine science, AI, BCIs, flexible electronics, or neuroscience. Dongxiang Road, Chang'an District, Xi'an Shaanxi,710129, P.R.China. Sanhang Institute for Brain Science and Technology (SiBST) at Northwestern Polytechnical University Discovery-base",,https://www.nature.com/articles/d41586-025-03421-w
Sugarcane genomes offer sweet surprise: mystery ancestor,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03368-y"">doi:10.1038/d41586-025-03368-y</a></p>A previously unknown strain left a stamp on modern varieties of the world’s most popular sugar source.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement Sugarcane, which accounts for 80% of global sugar production, has roots in New Guinea. Credit: Noel Celis/AFP/Getty Over millennia, people have selectively bred the sugarcane plant to optimize the crop’s taste, yield and ease of cultivation. Now researchers have uncovered a sweet surprise: by refining the history of the domestication process, they revealed a mysterious wild sugarcane ancestor of modern varieties1. 
        Access Nature and 54 other Nature Portfolio journals
       
        Get Nature+, our best-value online-access subscription
       
£17.99 / 30 days
 cancel any time Subscribe to this journal 
        Receive 51 print issues and online access
       £199.00 per year only £3.90 per issue Rent or buy this article Prices vary by article type from$1.95 to$39.95 Prices may be subject to local taxes which are calculated during checkout doi: https://doi.org/10.1038/d41586-025-03368-y Garsmeur, O. et al. Cell https://doi.org/10.1016/j.cell.2025.09.017 (2025). Article 
    
                    Google Scholar 
                 Download references Trees of the Amazon are becoming even mightier Research Highlight 01 OCT 25 A haplotype-based evolutionary history of barley domestication Article 24 SEP 25 Corpse flowers waft out stinky compounds as fast as landfills do Research Highlight 22 SEP 25 We seek researchers with a high impact in disciplines such as space science, marine science, AI, BCIs, flexible electronics, or neuroscience. Dongxiang Road, Chang'an District, Xi'an Shaanxi,710129, P.R.China. Sanhang Institute for Brain Science and Technology (SiBST) at Northwestern Polytechnical University Discovery-based and/or translational research using model organism genetics and/or stem cell and organoid platforms to study paediatric cancer. Toronto (City), Ontario (CA) The Hospital for Sick Children - Developmental & Stem Cell Biology Program Title: Associate or Senior Editor, Nature Communications (Computational Social Science) Location: New York, Madrid or Shanghai Closing date: Novemb... New York City, New York (US) Springer Nature Ltd We are seeking highly motivated Co-Principal Investigators/Research Professors to join i-BRAIN and contribute to cutting-edge neuroscience research. Shenzhen, Guangdong (CN) i-BRAIN, Shenzhen Medical Academy of Research and Translation Expressions of interest are invited for an Assistant Professor (tenure track) role with a generous 5-year startup package of about SEK 20M (≈EUR 1.8M) Umeå, Sweden Umeå University An essential round-up of science news, opinion and analysis, delivered to your inbox every weekday. Sign up for the Nat",,https://www.nature.com/articles/d41586-025-03368-y
Ancient graffiti and brain complexities: Books in brief,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03507-5"">doi:10.1038/d41586-025-03507-5</a></p>Andrew Robinson reviews five of the best science picks.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement Andrew Robinson is a writer based in London and author of Earthshock (1993), The Story of Measurement (2007) and Einstein in Oxford (2024). 
Search author on:
PubMed
 Google Scholar
 Elusive Cures   Nicole C. Rust Princeton Univ. Press (2025) Over the past few decades, brain research has produced effective treatments for pain, insomnia, postpartum depression, paralysis and spinal muscular atrophy, but some trials for Alzheimer’s or Parkinson’s disease, or for depression, have not been successful — notes neuroscientist Nicole Rust. “There’s a growing sense that we’ve been oversimplifying the brain,” her fascinating book accepts. To develop treatments, “we must stop dreaming of magic bullets and embrace complexity”, understanding brain function through feedback loops. The Board of Longitude   Alexi Baker, Richard Dunn, Rebekah Higgitt, Simon Schaffer & Sophie Waring Cambridge Univ. Press (2025) In 1714, the UK Parliament announced a financial reward for “such Person or Persons as shall discover the Longitude at Sea”. In due course, a Board of Longitude was established. In this intriguing book, five historians of science working with various museums relate the board’s history. In its time, it supported many navigators, instrument makers, surveyors and clockmakers — including John Harrison and his invention of the marine chronometer. Indus Signs and Graffiti Marks of Tamil Nadu   K. Rajan & R. Sivanatham Government of Tamil Nadu (2025) The exquisite script of the Indus civilization (2500–1800 bc) has remained undeciphered for a century. However, scholars agree that its language is probably related to the Dravidian languages of southern India, notably the state of Tamil Nadu, not to those of northern India, such as Sanskrit. This elegantly illustrated book by archaeologists K. Rajan and R. Sivanatham offers some tantalizing visual similarities between various Indus signs and Iron-Age graffiti found in Tamil Nadu — although without proving any historical link. The Solar System  William Sheehan & Clifford J. Cunningham Reaktion (2025) or doi: https://doi.org/10.1038/d41586-025-03507-5 The author declares no competing interests. Paper or plastic? Futures 24 OCT 25 Here there be Futures 22 OCT 25 Warning signs Futures 17 OCT 25 Paper or plastic? Futures 24 OCT 25 The sci-fi films that physicists love to watch — from Interstellar to Spider-Man News 24 OCT 25 Here there be Futures 22 OCT 25 We seek researchers with a high impact in disciplines such as space science, marine science, AI, BCIs, flexible electronics, or neuroscience. Dongxiang Road, Chang'an District, Xi'an Shaanxi,71",,https://www.nature.com/articles/d41586-025-03507-5
China seeks self-reliance in science in next five-year plan,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03491-w"">doi:10.1038/d41586-025-03491-w</a></p>Beijing wants to double down on advanced semiconductor technologies, artificial intelligence and basic research.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement 
Search author on:
PubMed
 Google Scholar
 The Chinese government will boost support for the development of advanced semiconductor technologies. Credit: Zhu Haipeng/VCG/Getty China’s top leaders convened in Beijing this week for a high-level political meeting to map out the country’s next five-year plan (FYP), which runs from 2026 to 2030. During this period, the country aims to achieve greater self-reliance in science and technology, develop innovation-driven industries and “key core technologies”, notes a communique released after the meeting on Thursday. The plan — the 15th in China’s history — is expected to be released early next year. The government intends to increase its support for advanced semiconductor technologies, artificial intelligence (AI) and basic research, said Yin Hejun, the Chinese minister for science and technology, at a press conference in Beijing on Friday. Researchers say this is part of China’s effort to overcome technological bottlenecks. Huang Baorong, a researcher of sustainable development policies at the Chinese Academy of Sciences in Beijing, expects China will increase its science-related investments over the next five years. This could help to offset some of the impact of the US government’s anticipated budget cuts to science, particularly in areas such as climate change and public health, Huang says. China’s annual research and development (R&D) expenditure has skyrocketed over the past two decades. Last year, it spent more than 3.6 trillion yuan (US$505 billion), up 8.9% from 2023 and a sixfold jump compared with 2009. The Chinese government is the world’s biggest R&D spender. China’s five-year plans are a comprehensive policy blueprint aimed at guiding the country’s economic and social development. The plan is a guide for the various levels of government to design policies for the short to medium term. Significant resources will probably be devoted to addressing bottlenecks in the making of advanced semiconductors, says Hu Guangzhou, an economist at the China Europe International Business School in Shanghai. Semiconductor chips, which power electronic devices, crucial infrastructure and military systems, are at the heart of an ongoing US–China ‘tech war’. The United States has blocked China’s direct and indirect access to its advanced chips as well as related technology and tools, citing national security risks. Chinese scientists consider the years between now and 2035 crucial for the country’s chip independency. “We can hopefully leapfrog the west in the chip sector with another five or ten years of effort,” Dou Qiang, chief scien",,https://www.nature.com/articles/d41586-025-03491-w
Chen-Ning Yang obituary: intuitive physicist whose theories on broken symmetries were proved right,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03508-4"">doi:10.1038/d41586-025-03508-4</a></p>Nobel prizewinner who helped to improve scientific relations between China and the United States.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement Christine Sutton is a particle physicist and science writer based in Oxfordshire, UK. 
Search author on:
PubMed
 Google Scholar
 Credit: Li Jin/VCG via Getty Just as many of us are struck by the beauty of symmetrical patterns in nature and art, Chen-Ning Yang had a deep feeling for beauty and the role of symmetry in physics. It was work on a breakdown of symmetry that brought Yang fame. In 1956, he and theorist Tsung-Dao Lee dared to propose that there is a fundamental difference between left and right in the realm of physics. They predicted that the results of experiments in the real world and in a mirror one could sometimes be different. Experiments in subatomic physics soon confirmed this theory and, in 1957, the pair was awarded the Nobel Prize in Physics, making them the first Chinese-born Nobel laureates. Yang’s work in theoretical physics spanned more than six decades, both in his native China and in the United States, where he lived for nearly 60 years. Proud of his Chinese heritage and grateful to the United States for enabling him to realize his potential, Yang was ultimately able to promote scientific cooperation between the two countries. He has died aged 103. Why even physicists still don’t understand quantum theory 100 years on Why even physicists still don’t understand quantum theory 100 years on Yang’s interest in the role of symmetry in physics and chemistry began during his childhood in China. His father, who had a PhD from the University of Chicago, Illinois, was professor of mathematics at Tsinghua University in Beijing and introduced his son to the maths of symmetry. After war broke out between China and Japan in 1937, the family settled in Kunming in southwestern China, to where people working at Tsinghua and other universities in Beijing had been evacuated and where the institutions had merged temporarily. Yang gained a bachelor’s from this amalgamated university, working on symmetry in molecules. A fellowship from Tsinghua then gave him the opportunity in 1945 to leave China and follow in his father’s footsteps to the University of Chicago, drawn by the reputation of nuclear physicist Enrico Fermi, winner of the 1938 physics Nobel prize. In particular, he appreciated how Fermi’s theoretical work was guided by observations in physics. This was a trait that Yang followed throughout his own research, as he moved from Chicago to the Institute for Advanced Study in Princeton, New Jersey. Indeed, it was a puzzle in the physics of unstable subatomic particles discovered in cosmic radiation that set Yang and Lee, who had first worked together at Chicago,",,https://www.nature.com/articles/d41586-025-03508-4
AI chatbots are sycophants — researchers say it’s harming science,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03390-0"">doi:10.1038/d41586-025-03390-0</a></p>Nature asked researchers who use artificial intelligence how its propensity for people-pleasing affects their work — and what they are doing to mitigate it.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement Miryam Naddaf is a science writer based in London. 
Search author on:
PubMed
 Google Scholar
 AI’s inclination to be helpful affects many of the tasks that researchers use LLMs for.Credit: Smith Collection/Gado/Getty Artificial intelligence (AI) models are 50% more sycophantic than humans, an analysis published this month has found. The study, which was posted as a preprint1 on the arXiv server, tested how 11 widely used large language models (LLMs) responded to more than 11,500 queries seeking advice, including many describing wrongdoing or harm. AI Chatbots — including ChatGPT and Gemini — often cheer users on, give them overly flattering feedback and adjust responses to echo their views, sometimes at the expense of accuracy. Researchers analysing AI behaviours say that this propensity for people-pleasing, known as sycophancy, is affecting how they use AI in scientific research, in tasks from brainstorming ideas and generating hypotheses to reasoning and analyses. “Sycophancy essentially means that the model trusts the user to say correct things,” says Jasper Dekoninck, a data science PhD student at the Swiss Federal Institute of Technology in Zurich. “Knowing that these models are sycophantic makes me very wary whenever I give them some problem,” he adds. “I always double-check everything that they write.” Marinka Zitnik, a researcher in biomedical informatics at Harvard University in Boston, Massachusetts, says that AI sycophancy “is very risky in the context of biology and medicine, when wrong assumptions can have real costs”.  In a study posted on the preprint server arXiv on 6 October2, Dekoninck and his colleagues tested whether AI sycophancy affects the technology’s performance in solving mathematical problems. The researchers designed experiments using 504 mathematical problems from competitions held this year, altering each theorem statement to introduce subtle errors. They then asked four LLMs to provide proofs for these flawed statements. The authors considered a model’s answer to be sycophantic if it failed to detect the errors in a statement and went on to hallucinate a proof for it. GPT-5 showed the least sycophantic behaviour, generating sycophantic answers 29% of the time. DeepSeek-V3.1 was the most sycophantic, generating sycophantic answers 70% of the time. Although the LLMs have the capability to spot the errors in the mathematical statements, they “just assumed what the user says is correct”, says Dekoninck. AI chatbots are already biasing research — we must establish guidelines for their use now AI chatbots are already biasing research — we must e",,https://www.nature.com/articles/d41586-025-03390-0
How Napoleon’s army met its doom: DNA reveals surprise illnesses had a role,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03487-6"">doi:10.1038/d41586-025-03487-6</a></p>Remains of some of the 300,000 soldiers who died on the retreat from Moscow reveal two bacterial diseases that probably added to the death count.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement 
Search author on:
PubMed
 Google Scholar
 Cold, hunger and disease killed some 60% of Napoleon’s 500,000-strong army during its retreat from Moscow in 1812.Credit: R. Barbieri et al./Curr. Biol. Some disease-ridden French soldiers have just received a new diagnosis — although it comes about two centuries too late. While retreating from Moscow in 1812, French emperor Napoleon I lost most of his army to hunger, illness and the frigid Russian winter. Now, analysis of some of the fallen soldiers’ DNA has uncovered two unsuspected diseases that plagued the troops1. The results reveal that the reasons for the army’s demise might be more complex than was once thought, the authors report today in Current Biology. “This paper will be really interesting to history buffs,” says Anne Stone, who researches anthropological genetics at Arizona State University in Tempe. “This study was done beautifully.” Historians had long debated the factors that led to the collapse of Napoleon’s army. Eventually, in 2006, researchers studying DNA in some of the soldiers’ remains identified two disease agents2: Rickettsia prowazekii, which causes typhus, and Bartonella quintana, which causes trench fever. These two had already seemed likely culprits on the basis of symptoms described in historical records and the discovery of body lice, which spread typhus, on the soldiers’ remains. However, these identifications relied on the polymerase chain-reaction (PCR) technique, which creates millions of copies of a short DNA segment. That technique allows researchers to detect DNA sequences for specific pathogens, so it excelled at verifying the presence of microorganisms that historians had already thought were present in the remains. But it isn’t as well suited for identifying unsuspected diseases. Collapse of Aztec society linked to catastrophic salmonella outbreak Collapse of Aztec society linked to catastrophic salmonella outbreak After 20 years, it felt like the right time to return to the mystery, says Nicolás Rascovan, a co-author of the new study and a palaeogenomicist at the Pasteur Institute in Paris. Armed with new techniques that can screen ancient DNA for any known pathogen, the team set out to identify other microbes that might have afflicted the troops. The researchers extracted DNA from the teeth of 13 fallen soldiers whose remains had been excavated in Lithuania in 2002. They then used next-generation techniques to sequence millions of different DNA fragments from a sample. That allowed the authors to look for a wide array of pathogens all at once. or doi: https://doi.org/10.1038/d41586-02",,https://www.nature.com/articles/d41586-025-03487-6
Paper or plastic?,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03259-2"">doi:10.1038/d41586-025-03259-2</a></p>The real thing.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement K. J. Zimring has an MD/PhD in immunology from Emory University. Her short fiction has appeared in Asimov’s, Analog and as an Audible Original. 
Search author on:
PubMed
 Google Scholar
  Illustration: Jacey The chairs by the pharmacy counter are hard bioplastic and contoured — supposedly — to the human body. They’re not the right shape for Harold or for anyone else who might actually need to sit on them. Too high off the ground, sized for people who haven’t yet begun to shrink, and too straight-backed, unkind to vertebrae that curl you inwards like last year’s leaves. “I’m waiting for my wife,” Harold calls out when the pharmacist appears. He’s already been ignored, condescended to, smiled weakly at, and ignored again. “Is Rosie ready yet?” “I need my —” says the next person in a queue that snakes all the way past Allergy and Anti-Inflammatory to Heavy Metal/Haemorrhoid. “Please —” says someone else; then everyone is clamouring like Oliver Twist, if Dickensian orphans had wanted pills instead of porridge. Amazingly, the pharmacist beckons. “Mr Vetch?” He holds out a paper bag. “I have your prescription.” Harold levers himself up. “Finally.” The first day of the month is special. That’s when he gets Rosie back. She’s only formulated for a 30-day supply, which means he’s alone for the last day of each month (except for April/June/September/November — and February, which gets weird). He rips the bag open. “What’s this?” He doesn’t swear — they can throw you out for that. He pulls out a bottle with a single pill inside. “Where’s my wife?” Read more science fiction from Nature Futures Read more science fiction from Nature Futures “This is the current approved grief mitigation formulation per your insurance.” The pharmacist’s sigh could blow an immovable object straight to Mars. “It’s no different from the usual monthly construct.” Harold shakes the bottle. Inside is a big pill, squishy and pale, but it’s not a person. Normally they bring Rosie out from behind the counter, looking just like when she went in for her last scan. “Just add water. Hydration is key.” The pharmacist turns away. Harold considers making a scene but he can’t afford to get banned. The next closest pharmacy is an extra 30 minutes on the bus. He could call their daughter. He could call the doctor’s office or his health insurance line. But he’s not going to do it here. He’ll go to lunch first. In the deli, he sits with his sandwich and pulls out the bottle. The instructions read: Apply at least 340 ml distilled water. Allow space. He tips the pill onto the table and pours bottled water over it. He’d thoug",,https://www.nature.com/articles/d41586-025-03259-2
The sci-fi films that physicists love to watch — from <i>Interstellar</i> to <i>Spider-Man</i>,"<p>Nature, Published online: 24 October 2025; <a href=""https://www.nature.com/articles/d41586-025-03440-7"">doi:10.1038/d41586-025-03440-7</a></p>Nature surveyed scientists about their favourite cinematic moments to celebrate the International Year of Quantum Science and Technology.","Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain
            the best experience, we recommend you use a more up to date browser (or turn off compatibility mode in
            Internet Explorer). In the meantime, to ensure continued support, we are displaying the site without styles
            and JavaScript. Advertisement 
Search author on:
PubMed
 Google Scholar
 Physicists often cite Interstellar (left, with Matthew McConaughey) and The Prestige (right, with David Bowie) as their top science-fiction films. Credit: Christophel/Warner Bros/Paramount Pictures/Alamy; Cinematic/Alamy Nature has interviewed a multitude of physicists this year in celebration of the 100th birthday of quantum mechanics. Although many of them disagree wildly about how the century-old theory describes reality, something they seem to agree on is their favourite science-fiction films. Throughout several interviews, two were consistently highlighted for their depictions of science: 2014’s Interstellar and 2006’s The Prestige — both of which were directed and co-written by Christopher Nolan. Happy birthday quantum mechanics! I got a ticket to the ultimate physics party Happy birthday quantum mechanics! I got a ticket to the ultimate physics party Nolan, who won an Academy Award for directing 2023’s Oppenheimer — a deep dive into the scientists behind the atomic bomb — credits his initial interest in physics to being introduced to science fiction as a child by watching the Star Wars films and television programmes such as Carl Sagan’s Cosmos: A Personal Voyage. “It was something that stuck with me, and it was something I applied very much to films like Interstellar,” he told online interview website The Talks in 2023. “It showed us the dramatic possibilities, that looking at the universe from a scientific perspective could be very, very engaging.”  Nolan declined to be interviewed for this story; we can assume that’s because he’s busy filming The Odyssey, a retelling of the Greek epic, slated for a 17 July 2026 release. Here, we delve into why physicists love his work. (Warning: spoilers ahead.) The plot: Robert Angier (played by Hugh Jackman) and Alfred Borden (Christian Bale) are rival magicians in late 1890s London, who each dazzle audiences with a ‘teleportation’ trick. Borden pulls his off by hiding the fact that he has an identical twin, with whom he shares the same identity. Angier, however, gets help from famed scientist Nicola Tesla (David Bowie) to build a teleportation machine, which creates a new version of Angier every time he does the trick. The science of Oppenheimer: meet the Oscar-winning movie’s specialist advisers The science of Oppenheimer: meet the Oscar-winning movie’s specialist advisers “It’s a brilliant movie,” says Barry Luokkala, physicist and author of the 2013 book Exploring Science through Science Fiction, who also teaches a course with the same name at Carnegie Mellon University in Pitts",,https://www.nature.com/articles/d41586-025-03440-7
Cyber first responders: Strengthening NHS defences in the digital age,"<p>Martin Jarvis, Incident Management Lead in our Cyber Security Operations Centre (CSOC), explains how the preparedness of individual NHS organisations, working alongside central response capabilities, forms a protective partnership to keep the NHS safe.</p>

<p>Driving forward the NHS 10 Year Health Plan’s commitment to move <a href=""https://www.gov.uk/government/publications/10-year-health-plan-for-england-fit-for-the-future/fit-for-the-future-10-year-health-plan-for-england-accessible-version#chapter-3-from-analogue-to-digital---power-in-your-hands"">'from analogue to digital'</a> means cyber security is more critical than ever. As we build a digitally-enabled health service, where patients can access care 24/7 through the NHS App and other digital channels, robust cyber defences are essential for patient safety and continuity of care.</p>","Digital Driving forward the NHS 10 Year Health Plan’s commitment to move 'from analogue to digital' means cyber security is more critical than ever. As we build a digitally-enabled health service, where patients can access care 24/7 through the NHS App and other digital channels, robust cyber defences are essential for patient safety and continuity of care. In the event of a major cyber-attack, my team in the Cyber Security Operations Centre (CSOC) leads the response: helping minimise potential harm to patients while supporting NHS organisations in upholding the highest cyber-security standards. Hundreds of incidents come through our team every month. The more serious or complex cases are escalated to us by our colleagues in CSOC's intelligence and threat monitoring teams. Our response starts by reaching out to the impacted organisation, for example, an NHS trust, to understand the best actions to take to stop the incident from going any further.  With the clock ticking, we must quickly understand the organisation's priorities because the best technical course of action could have unacceptable consequences.  So, we're constantly evaluating and rethinking the right action to take balancing the risk an attacker is inside a system, with the risk of turning off that system to prevent the attacker causing more harm.  That's where our team adds real value. We're experienced in dealing with serious incidents full-time and bringing established processes and partnerships to organisations for whom this is a rare event. Importantly, we have clinicians embedded within the team, so when hard decisions need to be made, they’re informed not only by cyber risk but by deep clinical understanding too. Everyone involved knows what needs to be done to get things under control. We can quickly and expertly pull people and information together so the right decisions can be made, with no loose ends. For example, we often work with law enforcement, the National Centre for Cyber Security (NCSC), clinical leads, cyber regional leads and many other stakeholders. When the threat is contained, we'll investigate what the attacker achieved. Maybe they've taken data or put something on the organisation's network that allows them to gain access later on when they think we've stopped looking. Digging deeper, we might find out that the attacker breached the organisation through a vulnerability in a supplier's network, so we bring the supplier into the response.  Sometimes we deploy a computer incident response team (CIR), who are our 'boots on the ground' team to support and carry out an in-person deep dive on the computers that have been most heavily impacted. We can then start to map out what the organisation needs to do to fix any damage and vulnerability. Cyber criminals often target easily accessible systems due to time and financial limitations. They generally do not seek complex challenges, which is why it is recommended to address high severity alerts (HSAs) promptly. Given","Wed, 08 Oct 2025 13:13:18 GMT",https://digital.nhs.uk/blog/transformation-blog/2025/cyber-first-responders-strengthening-nhs-defences-in-the-digital-age
